team,form_points,form_percentage
Bournemouth,13,86.67
Man City,13,86.67
Man United,9,60.0
Arsenal,8,53.33
Crystal Palace,8,53.33
Brentford,8,53.33
Liverpool,8,53.33
Aston Villa,7,46.67
West Ham,7,46.67
Newcastle,7,46.67
Brighton,7,46.67
Everton,6,40.0
Nott'm Forest,6,40.0
Leeds,5,33.33
Burnley,5,33.33
Chelsea,5,33.33
Sunderland,4,26.67
Fulham,3,20.0
Wolves,2,13.33
Tottenham,1,6.67
