team,form_points,form_percentage
Juventus,13,86.67
Roma,12,80.0
Genoa,11,73.33
Atalanta,10,66.67
Inter,10,66.67
Parma,8,53.33
Como,8,53.33
Udinese,8,53.33
Lazio,8,53.33
Bologna,7,46.67
Torino,7,46.67
Napoli,6,40.0
Lecce,6,40.0
Fiorentina,5,33.33
Milan,5,33.33
Cagliari,4,26.67
Verona,4,26.67
Cremonese,3,20.0
Pisa,2,13.33
Sassuolo,0,0.0
