home_team,avg_home_scored,avg_home_conceded,home_attack_strength,home_defense_strength,avg_away_scored,avg_away_conceded,away_attack_strength,away_defense_strength
Arsenal,2.066993464052288,0.8611111111111112,1.3500968545145429,0.7398963489739478,1.5686274509803921,1.1258169934640523,1.3478187761195253,0.7353491958581185
Aston Villa,1.3747747747747747,1.135135135135135,0.8979607973459998,0.97534723596217,1.135135135135135,1.5153153153153154,0.97534723596217,0.9897575761048308
Barnsley,1.3157894736842106,1.8421052631578947,0.8594334043716457,1.5828003390614163,0.631578947368421,2.473684210526316,0.5426744019639141,1.615734800218694
Birmingham,1.218045112781955,1.0526315789473684,0.795589780046895,0.9044573366065235,0.8345864661654135,1.6541353383458646,0.7171054597380294,1.080430565495783
Blackburn,1.5504587155963303,1.110091743119266,1.012712169334809,0.9538290903020173,1.0764525993883791,1.5229357798165137,0.9249251784746834,0.994735030234191
Blackpool,1.5789473684210527,1.9473684210526316,1.031320085245975,1.6732460727220686,1.3157894736842106,2.1578947368421053,1.1305716707581546,1.409470783169499
Bolton,1.291497975708502,1.2672064777327936,0.8435669415217076,1.0888274859916995,1.0364372469635628,1.7489878542510122,0.8905426083510386,1.1423853251955414
Bournemouth,1.355263157894737,1.4473684210526316,0.8852164065027951,1.24362883783397,1.2105263157894737,1.9342105263157894,1.040125937097502,1.263367104426319
Bradford,1.2105263157894737,1.5263157894736843,0.7906787320219141,1.3114631380794592,0.5789473684210527,2.1052631578947367,0.497451535133588,1.375093446994633
Brentford,1.6578947368421053,1.4210526315789473,1.0828860895082737,1.221017404418807,1.3421052631578947,1.5263157894736843,1.1531831041733176,0.996942749071109
Brighton,1.3223684210526316,1.3092105263157894,0.863730571393504,1.1249188124043636,1.1973684210526316,1.5328947368421053,1.0288202203899206,1.0012399160929673
Burnley,1.0526315789473684,1.391812865497076,0.6875467234973165,1.19589358951307,0.9415204678362573,1.7251461988304093,0.8089868399647239,1.1268126857317131
Cardiff,1.0789473684210527,1.9210526315789473,0.7047353915847495,1.6506346393069056,0.6578947368421053,1.8421052631578947,0.5652858353790773,1.2032067661203039
Charlton,1.3092105263157894,1.3026315789473684,0.8551362373497874,1.119265954050573,0.9407894736842105,1.605263157894737,0.8083587445920805,1.0485087533334079
Chelsea,1.946078431372549,0.8594771241830066,1.2711188567010439,0.7384923710821566,1.4869281045751634,1.1405228758169934,1.2776198815299669,0.7449546280246251
Coventry,1.2179487179487178,1.0961538461538463,0.7955268178927284,0.9418531687931395,0.9294871794871795,1.6794871794871795,0.79864742383044,1.0969896120415519
Crystal Palace,1.1358885017421603,1.2996515679442509,0.7419275967495433,1.116705425876382,1.1184668989547037,1.5679442508710801,0.9610253128855727,1.0241331856972224
Derby,1.1804511278195489,1.330827067669173,0.7710345399219907,1.1434924898525334,0.8571428571428571,1.8270676691729324,0.7364866883795977,1.1933846700703423
Everton,1.5016339869281046,1.1127450980392157,0.9808213512243991,0.9561089443097883,1.0375816993464053,1.4656862745098038,0.8915259612873945,0.9573414059284939
Fulham,1.371345029239766,1.304093567251462,0.8957205925562263,1.1205221447958598,0.9532163742690059,1.6169590643274854,0.8190363659270186,1.0561481613722667
Huddersfield,0.6842105263157895,1.4736842105263157,0.4469053702732558,1.266240271249133,0.631578947368421,2.0526315789473686,0.5426744019639141,1.3407161108197674
Hull,1.1263157894736842,1.5263157894736843,0.7356749941421287,1.3114631380794592,0.7789473684210526,1.8736842105263158,0.6692984290888274,1.2238331678252234
Ipswich,1.1111111111111112,1.505050505050505,0.725743763691612,1.2931912726934687,0.9595959595959596,1.9191919191919191,0.8245179255428157,1.2535574100127842
Leeds,1.4444444444444444,1.1481481481481481,0.9434668927990955,0.9865284652985971,1.2814814814814814,1.525925925925926,1.1010930612687566,0.9966881021364804
Leicester,1.375,1.308139534883721,0.8981079075683698,1.1239985796490954,1.252906976744186,1.6453488372093024,1.0765408618416892,1.0746914919317068
Liverpool,2.045751633986928,0.8006535947712419,1.3362223413851442,0.6879491669776744,1.5588235294117647,1.1944444444444444,1.3393949087687784,0.7801745459684828
Luton,1.4736842105263157,1.9473684210526316,0.9625654128962431,1.6732460727220686,1.263157894736842,2.526315789473684,1.0853488039278283,1.6501121363935596
Man City,2.090909090909091,0.9458413926499033,1.3657178098560332,0.8126995275059198,1.5145067698259187,1.2359767891682785,1.3013164213438346,0.8073022021258143
Man United,2.066993464052288,0.7843137254901961,1.3500968545145429,0.6739093880597626,1.65359477124183,1.1601307189542485,1.4208256264926662,0.7577618709133007
Middlesbrough,1.3533834586466165,1.2330827067669172,0.8839886444965498,1.0595071657390704,0.8796992481203008,1.4699248120300752,0.7558679170211662,0.9601098888837528
Newcastle,1.6655052264808363,1.127177700348432,1.0878570283628275,0.9685099337024385,1.1184668989547037,1.588850174216028,0.9610253128855727,1.037788294839852
Norwich,1.1942857142857144,1.4857142857142858,0.7800708682879555,1.2765769265246363,0.8228571428571428,1.9657142857142857,0.7070272208444138,1.2839443956509888
Nott'm Forest,1.3185185185185184,1.2074074074074075,0.8612159329140461,1.0374460635075569,1.1481481481481481,1.8,0.9865284652985971,1.1757048971804114
Oldham,1.1428571428571428,1.5714285714285714,0.7464792997970865,1.350225595362596,0.8571428571428571,1.6666666666666667,0.7364866883795977,1.0886156455374179
Portsmouth,1.3834586466165413,1.1954887218045114,0.9036328365964731,1.0272051180031232,0.8120300751879699,1.6616541353383458,0.697724231096461,1.0853416135207639
QPR,1.2966101694915255,1.3389830508474576,0.8469060700028387,1.1505003917342305,1.0423728813559323,1.847457627118644,0.8956427100209516,1.2067027664092733
Reading,1.2456140350877194,1.368421052631579,0.8135969561384914,1.1757945375884806,1.1403508771929824,1.894736842105263,0.9798287813237339,1.2375841022951697
Sheffield United,1.0618556701030928,1.4742268041237114,0.6935716174661075,1.2667064863710953,0.6701030927835051,1.8350515463917525,0.5757756756232251,1.1985994942618168
Sheffield Weds,1.4598540145985401,1.1751824817518248,0.9535319522955485,1.009757296598305,1.1240875912408759,1.7591240875912408,0.9658548054418569,1.149006002516136
