home_team,avg_home_scored,avg_home_conceded,avg_away_scored,avg_away_conceded,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength
Aachen,1.6470588235294117,2.176470588235294,1.0588235294117647,1.9411764705882353,0.9800247480996994,1.7220089320692626,0.8377340750607224,1.1550291674032171
Augsburg,1.3764705882352941,1.4549019607843137,1.0627450980392157,1.7529411764705882,0.8190206823404631,1.151108673509363,0.8408367938572436,1.0430263390489658
Bayern Munich,2.729055258467023,0.8324420677361853,1.9625668449197862,1.0570409982174689,1.623828884567792,0.658622580897908,1.5527697249862886,0.6289552766484002
Bielefeld,1.2299465240641712,1.2780748663101604,0.893048128342246,1.839572192513369,0.7318366625419833,1.011204262320771,0.7065736895714174,1.0945730952801838
Bochum,1.4485294117647058,1.5,1.0845588235294117,1.9926470588235294,0.8618967650698249,1.1867899396693569,0.8580956671628927,1.1856549407813328
Braunschweig,1.0588235294117647,1.411764705882353,0.6470588235294118,2.1176470588235294,0.630015909492664,1.1169787667476299,0.5119486014259971,1.260031818985328
Cottbus,1.3333333333333333,1.3725490196078431,0.7352941176470589,1.9411764705882353,0.7933533675092804,1.0859515787824179,0.581759774347724,1.1550291674032171
Darmstadt,0.9411764705882353,1.9215686274509804,0.9411764705882353,2.0392156862745097,0.5600141417712569,1.5203322102953851,0.7446525111650866,1.213363973837723
Dortmund,2.1746880570409983,0.9946524064171123,1.607843137254902,1.409982174688057,1.2939720700017676,0.7869623129358301,1.2721147065736897,0.8389605798126214
Dresden,1.088235294117647,1.2352941176470589,0.8529411764705882,2.0588235294117645,0.6475163514230157,0.9773564209041762,0.6748413382433597,1.2250309351246242
Duisburg,1.2794117647058822,1.4264705882352942,1.0294117647058822,1.8308823529411764,0.7612692239703022,1.1286139622345843,0.8144636840868134,1.089402510164398
Dusseldorf,1.2058823529411764,1.2941176470588236,0.7352941176470589,1.7647058823529411,0.7175181191444228,1.0238972028519941,0.581759774347724,1.0500265158211064
Ein Frankfurt,1.6252723311546842,1.3420479302832244,1.1699346405228759,1.766884531590414,0.9670614577809203,1.061819321476142,0.9256444409621563,1.0513228448529846
FC Koln,1.4092071611253196,1.4271099744245523,1.1176470588235294,1.8593350383631713,0.8384994350977242,1.1291198402992344,0.8842748570085404,1.1063322855100644
Fortuna Dusseldorf,1.3529411764705883,1.6470588235294117,1.0784313725490196,2.0588235294117645,0.8050203287961817,1.3031418945389015,0.8532476690433284,1.2250309351246242
Freiburg,1.5339366515837105,1.3167420814479638,1.081447963800905,1.8461538461538463,0.912715356059885,1.0417975036011549,0.8556343758098831,1.098489278089773
Greuther Furth,0.7352941176470589,2.0294117647058822,0.8529411764705882,2.1470588235294117,0.43751104825879444,1.6056569771997178,0.6748413382433597,1.2775322609156796
Hamburg,1.5180995475113122,1.169683257918552,1.158371040723982,1.7330316742081449,0.9032920411743108,0.9254455487316101,0.9164953983570298,1.0311798860499586
Hannover,1.5404411764705883,1.4669117647058822,1.0404411764705883,1.838235294117647,0.9165856461021743,1.160610749823709,0.8231900807020294,1.0937776206469858
Hansa Rostock,1.4064171122994653,1.2352941176470589,0.9946524064171123,1.7914438502673797,0.8368393141240941,0.9773564209041762,0.7869623129358301,1.0659360084850626
Heidenheim,1.2941176470588236,1.8823529411764706,1.2156862745098038,1.8627450980392157,0.7700194449354781,1.4893050223301731,0.9618428269215701,1.1083613222556126
Hertha,1.536764705882353,1.2818627450980393,1.142156862745098,1.6715686274509804,0.9143980908608803,1.0142012066128654,0.9036668494867978,0.994608449708326
Hoffenheim,1.7450980392156863,1.4379084967320261,1.4836601307189543,1.7679738562091503,1.0383595545342053,1.137663558724438,1.1738619446838519,1.0519710093689234
Holstein Kiel,1.411764705882353,2.411764705882353,1.4705882352941178,2.2941176470588234,0.8400212126568852,1.9081720598605343,1.163519548695448,1.3650344705674384
Ingolstadt,1.2647058823529411,1.411764705882353,0.7647058823529411,1.5,0.7525190030051263,1.1169787667476299,0.6050301653216328,0.8925225384479405
Kaiserslautern,1.6092436974789917,1.1722689075630253,1.218487394957983,1.7605042016806722,0.9575241799035329,0.927491297388657,0.9640590546333709,1.047526452688199
Karlsruhe,1.6302521008403361,1.2436974789915967,1.0672268907563025,1.680672268907563,0.9700244955680698,0.9840051040395787,0.844382758196125,1.0000252531629585
Leipzig,1.1764705882352942,1.6470588235294117,0.7058823529411765,2.411764705882353,0.700017677214071,1.3031418945389015,0.5584893833738149,1.4350362382888455
Leverkusen,2.0445632798573974,1.13903743315508,1.6327985739750446,1.374331550802139,1.2165458723705143,0.9011987777168377,1.29185928073337,0.8177479229273465
M'Gladbach,2.235294117647059,1.4705882352941178,1.588235294117647,2.0,1.330033586706735,1.163519548695448,1.2566011125910836,1.1900300512639208
M'gladbach,1.6997971602434077,1.206896551724138,1.184584178498986,1.7971602434077079,1.0114048508713647,0.9548884572052295,0.9372350571560574,1.0693373482959774
Mainz,1.4676470588235293,1.2411764705882353,1.188235294117647,1.7294117647058824,0.8732720523245535,0.982010499098958,0.9401237953459218,1.0290259855046844
Munich 1860,1.5941176470588236,1.3823529411764706,1.1941176470588235,1.7823529411764707,0.9485239526250663,1.093708375773721,0.9447778735407036,1.0605267809793177
Nurnberg,1.3109243697478992,1.2983193277310925,0.9957983193277311,1.8781512605042017,0.7800196974671078,1.0272215444196955,0.7878689515452032,1.1175282204096062
Paderborn,1.2352941176470589,2.264705882352941,0.7647058823529411,1.8235294117647058,0.7350185610747746,1.7918201049909896,0.6050301653216328,1.08502739968181
RB Leipzig,2.1411764705882352,1.0294117647058822,1.7352941176470589,1.3352941176470587,1.2740321725296093,0.8144636840868134,1.3729530674606285,0.7945200636379706
