team,form_points,form_percentage
Marseille,12,80.0
Lens,12,80.0
Paris SG,9,60.0
Auxerre,9,60.0
Rennes,9,60.0
Angers,8,53.33
Strasbourg,8,53.33
Paris FC,8,53.33
Lille,8,53.33
Le Havre,7,46.67
Lyon,7,46.67
Brest,7,46.67
Monaco,4,26.67
Lorient,4,26.67
Toulouse,4,26.67
Nice,3,20.0
Metz,2,13.33
Nantes,2,13.33
