league,home_attack,home_defense,away_attack,away_defense,home_elo,away_elo,home_form,away_form,result
epl,1.3722686444372134,0.8050952691969651,1.0864939740792876,1.0103578489493408,1778.2518734106357,1559.6168502846808,86.67,33.33,D
epl,1.0927542846995282,0.9794404920361174,1.1611079289817214,0.9389521637121152,1609.1858711832506,1518.7367195450222,46.67,6.67,A
epl,1.1252932766869563,0.9666835333793956,1.3460150464776397,0.729836025818127,1518.7367195450222,1795.4564583208314,6.67,53.33,A
epl,0.9470692141158252,0.9825942771044924,0.8848178873083012,1.0629198634937516,1559.6168502846808,1538.7383742178883,33.33,46.67,H
epl,0.978290843117915,0.9626046999052212,1.304478418281365,0.8043492942527182,1575.6181710909862,1778.2518734106357,40.0,86.67,H
epl,1.349937840662181,0.6852440236613438,0.953399238185822,1.0321681096405826,1680.6997802422604,1609.1858711832506,60.0,46.67,D
epl,1.1252932766869563,0.9666835333793956,1.304478418281365,0.8043492942527182,1518.7367195450222,1778.2518734106357,6.67,86.67,H
epl,0.9047337167853668,0.9744953758868452,1.4167148266966672,0.7619281063860163,1675.3529499267026,1680.6997802422604,46.67,60.0,A
epl,1.3520082974730123,0.7314708030353234,1.0864939740792876,1.0103578489493408,1795.4564583208314,1559.6168502846808,53.33,33.33,H
epl,1.3313037293646968,0.6934016906096931,1.1611079289817214,0.9389521637121152,1697.1089078285838,1518.7367195450222,53.33,6.67,A
epl,1.0927542846995282,0.9794404920361174,0.8919049196861936,0.9524101329825204,1609.1858711832506,1575.6181710909862,46.67,40.0,H
epl,1.3313037293646968,0.6934016906096931,1.0864939740792876,1.0103578489493408,1697.1089078285838,1559.6168502846808,53.33,33.33,H
epl,0.9047337167853668,0.9744953758868452,1.1611079289817214,0.9389521637121152,1675.3529499267026,1518.7367195450222,46.67,6.67,H
epl,1.3520082974730123,0.7314708030353234,0.8919049196861936,0.9524101329825204,1795.4564583208314,1575.6181710909862,53.33,40.0,H
epl,0.978290843117915,0.9626046999052212,0.97748462550613,0.9878098945530795,1575.6181710909862,1675.3529499267026,40.0,46.67,A
epl,1.1252932766869563,0.9666835333793956,1.280753710890845,0.7505405939264427,1518.7367195450222,1620.9810965342876,6.67,33.33,D
epl,1.349937840662181,0.6852440236613438,0.8848178873083012,1.0629198634937516,1680.6997802422604,1538.7383742178883,60.0,46.67,H
epl,1.259872969391008,0.7491457480900804,1.4167148266966672,0.7619281063860163,1620.9810965342876,1680.6997802422604,33.33,60.0,H
epl,0.978290843117915,0.9626046999052212,1.336497768371232,0.7909145017376582,1575.6181710909862,1697.1089078285838,40.0,53.33,H
epl,1.349937840662181,0.6852440236613438,1.3460150464776397,0.729836025818127,1680.6997802422604,1795.4564583208314,60.0,53.33,H
epl,1.259872969391008,0.7491457480900804,1.336497768371232,0.7909145017376582,1620.9810965342876,1697.1089078285838,33.33,53.33,H
epl,1.0927542846995282,0.9794404920361174,0.8848178873083012,1.0629198634937516,1609.1858711832506,1538.7383742178883,46.67,46.67,H
epl,0.9525309697476124,1.122463232041443,1.280753710890845,0.7505405939264427,1538.7383742178883,1620.9810965342876,46.67,33.33,H
epl,0.9047337167853668,0.9744953758868452,0.953399238185822,1.0321681096405826,1675.3529499267026,1609.1858711832506,46.67,46.67,A
