team,form_points,form_percentage
Villarreal,13,86.67
Barcelona,12,80.0
Getafe,10,66.67
Real Madrid,10,66.67
Sevilla,8,53.33
Sociedad,8,53.33
Vallecano,8,53.33
Levante,8,53.33
Valencia,7,46.67
Girona,7,46.67
Ath Madrid,6,40.0
Betis,6,40.0
Oviedo,6,40.0
Celta,6,40.0
Elche,5,33.33
Mallorca,5,33.33
Ath Bilbao,3,20.0
Alaves,2,13.33
Espanol,2,13.33
Osasuna,2,13.33
